# Project Progress

| Category               | Progress Percent |
|------------------------|------------------|
| Textures - Blocks      | 0.00%            |
| Textures - Color Map   | 0.00%            |
| Textures - Effects     | 0.00%            |
| Textures - Entities    | 0.00%            |
| Textures - Environment | 0.00%            |
| Textures - Font        | 0.00%            |
| Textures - GUI         | 0.00%            |
| Textures - Items       | 0.00%            |
| Textures - Map         | 0.00%            |
| Textures - Misc        | 0.00%            |
| Textures - Mob Effect  | 0.00%            |
| Textures - Models      | 0.00%            |
| Textures - Paintings   | 0.00%            |
| Textures - Particles   | 0.00%            |
| Grand Total            | 0.00%            |

# Detailed

| Category               | Name                               | Progress |
|------------------------|------------------------------------|----------|
| Textures - Blocks      | Acacia Door                        | 0        |
| Textures - Blocks      | Acacia Leaves                      | 0        |
| Textures - Blocks      | Acacia Log                         | 0        |
| Textures - Blocks      | Acacia Planks                      | 0        |
| Textures - Blocks      | Acacia Sapling                     | 0        |
| Textures - Blocks      | Acacia Trapdoor                    | 0        |
| Textures - Blocks      | Activator Rail                     | 0        |
| Textures - Blocks      | Allium                             | 0        |
| Textures - Blocks      | Ancient Debris                     | 0        |
| Textures - Blocks      | Andesite                           | 0        |
| Textures - Blocks      | Andesite Polished                  | 0        |
| Textures - Blocks      | Anvil                              | 0        |
| Textures - Blocks      | Azure Bluet                        | 0        |
| Textures - Blocks      | Bamboo                             | 0        |
| Textures - Blocks      | Barrel                             | 0        |
| Textures - Blocks      | Basalt                             | 0        |
| Textures - Blocks      | Basalt Polished                    | 0        |
| Textures - Blocks      | Beacon                             | 0        |
| Textures - Blocks      | Bedrock                            | 0        |
| Textures - Blocks      | Bee Nest                           | 0        |
| Textures - Blocks      | Beehive                            | 0        |
| Textures - Blocks      | Beetroots                          | 0        |
| Textures - Blocks      | Bell                               | 0        |
| Textures - Blocks      | Birch Door                         | 0        |
| Textures - Blocks      | Birch Leaves                       | 0        |
| Textures - Blocks      | Birch Log                          | 0        |
| Textures - Blocks      | Birch Planks                       | 0        |
| Textures - Blocks      | Birch Sapling                      | 0        |
| Textures - Blocks      | Birch Trapdoor                     | 0        |
| Textures - Blocks      | Blackstone                         | 0        |
| Textures - Blocks      | Blackstone Bricks Polished         | 0        |
| Textures - Blocks      | Blackstone Bricks Polished Cracked | 0        |
| Textures - Blocks      | Blackstone Polished                | 0        |
| Textures - Blocks      | Blackstone Polished Chiseled       | 0        |
| Textures - Blocks      | Blast Furnace                      | 0        |
| Textures - Blocks      | Blue Ice                           | 0        |
| Textures - Blocks      | Blue Orchid                        | 0        |
| Textures - Blocks      | Bone Block                         | 0        |
| Textures - Blocks      | Bookshelf                          | 0        |
| Textures - Blocks      | Brain Coral                        | 0        |
| Textures - Blocks      | Brewing Stand                      | 0        |
| Textures - Blocks      | Bricks                             | 0        |
| Textures - Blocks      | Brown Mushroom                     | 0        |
| Textures - Blocks      | Brown Mushroom Block               | 0        |
| Textures - Blocks      | Bubble Coral                       | 0        |
| Textures - Blocks      | Cactus                             | 0        |
| Textures - Blocks      | Cake                               | 0        |
| Textures - Blocks      | Campfire                           | 0        |
| Textures - Blocks      | Carrots                            | 0        |
| Textures - Blocks      | Cartography Table                  | 0        |
| Textures - Blocks      | Cauldron                           | 0        |
| Textures - Blocks      | Chain                              | 0        |
| Textures - Blocks      | Chorus Plant                       | 0        |
| Textures - Blocks      | Clay                               | 0        |
| Textures - Blocks      | Coal Block                         | 0        |
| Textures - Blocks      | Coal Ore                           | 0        |
| Textures - Blocks      | Coarse Dirt                        | 0        |
| Textures - Blocks      | Cobblestone                        | 0        |
| Textures - Blocks      | Cobblestone Mossy                  | 0        |
| Textures - Blocks      | Cobweb                             | 0        |
| Textures - Blocks      | Cocoa                              | 0        |
| Textures - Blocks      | Command Blocks                     | 0        |
| Textures - Blocks      | Comparator                         | 0        |
| Textures - Blocks      | Composter                          | 0        |
| Textures - Blocks      | Concrete Black                     | 0        |
| Textures - Blocks      | Concrete Blue                      | 0        |
